id,relayid,sensorid,update_time,processed_status,start_index,end_index,index_len,width,peakvalue,other_peak,other_var
92,2,7,2017/07/18 16:05:41,0,96,328,2,161,9562,6249,859
93,2,7,2017/07/18 16:05:45,0,96,200,2,90,4872,1505,433
94,2,7,2017/07/18 16:05:49,0,95,443,4,324,6568,4465,732
95,2,7,2017/07/18 16:05:53,0,93,324,3,187,5851,8959,754
96,2,7,2017/07/18 16:05:56,0,95,313,2,153,11415,9345,902
97,2,7,2017/07/18 16:06:00,0,94,250,2,115,10682,5214,799
98,2,7,2017/07/18 16:06:04,0,96,389,4,270,7986,5564,780
99,2,7,2017/07/18 16:06:08,0,94,292,2,156,5855,3464,753
100,2,7,2017/07/18 16:06:12,0,96,352,3,210,8820,5636,804
101,2,7,2017/07/18 16:06:15,0,96,288,2,145,12548,4659,853
102,2,7,2017/07/18 16:06:19,0,96,279,2,147,6661,1976,458
103,2,7,2017/07/18 16:06:23,0,96,386,2,221,8633,2835,763
104,2,7,2017/07/18 16:06:27,0,96,262,2,121,7408,3839,772
105,2,7,2017/07/18 16:06:31,0,95,274,2,141,10013,3646,794
106,2,7,2017/07/18 16:06:34,0,96,287,2,160,5888,4808,663
107,2,7,2017/07/18 16:06:38,0,96,316,2,177,6414,3985,731
108,2,7,2017/07/18 16:06:42,0,95,286,2,160,6778,2461,527
109,2,7,2017/07/18 16:06:46,0,95,350,2,219,7465,2640,625
110,2,7,2017/07/18 16:06:50,0,93,489,3,366,4272,4502,498
111,2,7,2017/07/18 16:06:53,0,96,238,2,92,16564,6795,1132
112,2,7,2017/07/18 16:06:57,0,96,241,2,86,18991,8604,1161
113,2,7,2017/07/18 16:07:01,0,93,294,2,159,6108,7234,831
114,2,7,2017/07/18 16:07:05,0,96,260,2,132,6364,3719,734
115,2,7,2017/07/18 16:07:09,0,96,279,2,144,7758,3640,710
116,2,7,2017/07/18 16:07:12,0,96,313,2,166,9561,3155,741
117,2,7,2017/07/18 16:07:16,0,94,378,4,262,3969,5026,706
118,2,7,2017/07/18 16:07:20,0,96,455,3,335,7118,3992,691
119,2,7,2017/07/18 16:07:24,0,96,370,4,252,8052,4397,723
120,2,7,2017/07/18 16:07:28,0,95,242,2,107,6814,2308,612
121,2,7,2017/07/18 16:07:32,0,96,274,2,120,13058,11847,923
122,2,7,2017/07/18 16:07:39,0,95,273,2,134,8377,5209,864
123,2,7,2017/07/18 16:07:43,0,96,274,2,122,14638,9275,1076
124,2,7,2017/07/18 16:07:47,0,95,258,2,132,9161,3200,702
125,2,7,2017/07/18 16:07:51,0,96,375,4,255,11001,4678,828
126,2,7,2017/07/18 16:07:54,0,94,263,2,126,11817,4737,802
127,2,7,2017/07/18 16:07:58,0,94,407,4,278,3129,2819,545
128,2,7,2017/07/18 16:08:02,0,96,233,2,99,14086,5491,992
