time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:46:01.952,-25,-87,3943,-117,-15,-21
2017-01-13_14:46:01.956,-15,-80,3875,-95,-13,-29
2017-01-13_14:46:01.959,-46,-54,3916,-81,-20,-27
2017-01-13_14:46:01.963,-38,-62,3909,-100,-6,-44
2017-01-13_14:46:01.966,-26,-43,3954,-113,-36,-18
2017-01-13_14:46:01.970,-29,-72,3929,-104,-42,-25
2017-01-13_14:46:01.973,-43,-72,3915,-106,-41,-28
2017-01-13_14:46:01.977,-32,-68,3905,-81,-20,-40
2017-01-13_14:46:01.980,-38,-70,3925,-76,-29,-55
2017-01-13_14:46:01.984,-15,-54,3926,-102,-28,-46
2017-01-13_14:46:01.987,-59,-64,3901,-103,-28,-36
2017-01-13_14:46:01.991,-32,-68,3907,-123,-25,-18
2017-01-13_14:46:01.994,-54,-55,3922,-105,-24,-61
2017-01-13_14:46:01.998,-22,-57,3915,-115,-25,-46
2017-01-13_14:46:02.002,-29,-63,3944,-83,-25,-18
2017-01-13_14:46:02.005,-37,-66,3948,-94,-46,-35
2017-01-13_14:46:02.009,-48,-56,3917,-102,-35,-9
2017-01-13_14:46:02.012,-22,-62,3901,-118,-43,-32
2017-01-13_14:46:02.016,-31,-66,3924,-125,-35,-14
2017-01-13_14:46:02.020,-42,-52,3957,-103,-34,-3
2017-01-13_14:46:02.023,-70,-77,3932,-89,-34,-24
2017-01-13_14:46:02.027,-46,-60,3916,-103,-51,-31
2017-01-13_14:46:02.030,-44,-88,3956,-106,-35,-26
2017-01-13_14:46:02.034,-26,-69,3914,-123,-42,-41
2017-01-13_14:46:02.037,-12,-78,3909,-105,-38,-25
2017-01-13_14:46:02.041,-42,-54,3932,-99,-22,-17
2017-01-13_14:46:02.045,-49,-85,3919,-76,-42,-24
2017-01-13_14:46:02.048,-32,-71,3940,-94,-9,-6
2017-01-13_14:46:02.052,-51,-47,3899,-106,-33,-32
2017-01-13_14:46:02.056,-42,-78,3956,-141,-36,-256
2017-01-13_14:46:02.060,-63,-72,3912,-112,-37,-249
2017-01-13_14:46:02.063,-49,-40,3925,-99,-15,-28
2017-01-13_14:46:02.067,-11,-53,3939,-98,-29,-2
2017-01-13_14:46:02.070,-35,-84,3921,-90,-18,-49
2017-01-13_14:46:02.074,-12,-66,3916,-89,-33,-21
